Datetime,Unnamed: 0,Tweet Id,Text,Username,User Location,Reply Count,Retweet Count,Like Count,Quote Count,compound,neg,neu,pos,Year,Month,Day,Weekday Name,date,yearMonth,cleanTweet,temp_list,Sentiment Label
2020-06-11 05:40:25+00:00,12,1270954016667832320,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/K9SdO9lJj6",DisbldUrbanFarm,"Kalamazoo, MI",0,0,0,0,0.4404,0.0,0.805,0.195,2020,6,11,Thursday,2020-06-11,2020-06, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-06-10 22:16:19+00:00,13,1270842256661110785,"'‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future' | The new documentary—and a city-wide public art project—addresses redlining, income inequality, and structural racism through the lens of food. via Civil Eats - https://t.co/vWHGdSO5w1",MrOkra,New York/Brazil,0,0,0,0,-0.296,0.098,0.833,0.069,2020,6,10,Wednesday,2020-06-10,2020-06, fertile ground explores how jackson mississippi is charting a better food future the new documentary and a city wide public art project addresses redlining income inequality and structural racism through the lens of food via civil eats ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'new', 'documentary', 'city', 'wide', 'public', 'art', 'project', 'addresses', 'redlining', 'income', 'inequality', 'structural', 'racism', 'lens', 'food', 'via', 'civil', 'eats']",negative
2020-06-10 19:22:03+00:00,14,1270798400603262977,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/YuxPlqzzKf, see more https://t.co/AQWlQSgzxn",TT_Organic,,0,0,0,0,0.4404,0.0,0.861,0.139,2020,6,10,Wednesday,2020-06-10,2020-06, fertile ground explores how jackson mississippi is charting a better food future civil eats see more ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'civil', 'eats', 'see']",positive
2020-06-10 19:22:03+00:00,15,1270798399047110658,"Top story: ‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/HPh9FkynaO, see more https://t.co/Gueoi0QDMZ",Personal_editio,,0,0,0,0,0.5719,0.0,0.802,0.198,2020,6,10,Wednesday,2020-06-10,2020-06,top story fertile ground explores how jackson mississippi is charting a better food future civil eats see more ,"['top', 'story', 'fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'civil', 'eats', 'see']",positive
2020-06-10 19:22:03+00:00,16,1270798397906264066,"Top story: ‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/P9F4ot4jj0, see more https://t.co/SkqtUpGgat",wflo,California,0,0,0,0,0.5719,0.0,0.802,0.198,2020,6,10,Wednesday,2020-06-10,2020-06,top story fertile ground explores how jackson mississippi is charting a better food future civil eats see more ,"['top', 'story', 'fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'civil', 'eats', 'see']",positive
2020-06-10 19:22:02+00:00,17,1270798394597019648,"Top story: ‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/7c2TEZZJgH, see more https://t.co/auRcW7er8x",FiyyazAhmed_06,WORLDWIDE🌍,0,0,0,0,0.5719,0.0,0.802,0.198,2020,6,10,Wednesday,2020-06-10,2020-06,top story fertile ground explores how jackson mississippi is charting a better food future civil eats see more ,"['top', 'story', 'fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'civil', 'eats', 'see']",positive
2020-06-10 17:37:57+00:00,18,1270772203433259008,"‘Fertile Ground’ Explores How Jackson, Mississippi, Is Charting a Better Food Future https://t.co/BFZL89V3pr https://t.co/4v0SAmOwn2",OccuWorld,Earth,0,0,1,0,0.4404,0.0,0.818,0.182,2020,6,10,Wednesday,2020-06-10,2020-06, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-06-10 14:34:35+00:00,20,1270726056186535942,"Fertile Ground shows how historic redlining resulted in the mostly Black and impoverished neighborhood of South Jackson, Mississippi having few grocery stores but several convenience stores with low-quality food. via @CivilEats  https://t.co/g1YLZ5GWf7",oneearth,,0,0,6,0,0.0,0.0,1.0,0.0,2020,6,10,Wednesday,2020-06-10,2020-06,fertile ground shows how historic redlining resulted in the mostly black and impoverished neighborhood of south jackson mississippi having few grocery stores but several convenience stores with low quality food via civileats ,"['fertile', 'ground', 'shows', 'historic', 'redlining', 'resulted', 'mostly', 'black', 'impoverished', 'neighborhood', 'south', 'jackson', 'mississippi', 'grocery', 'stores', 'several', 'convenience', 'stores', 'low', 'quality', 'food', 'via', 'civileats']",neutral
2020-06-10 11:03:03+00:00,21,1270672821308424194,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/yXl8Jgo4wS via @civileats",sugaredmagnolia,Utah,0,0,0,0,0.4404,0.0,0.828,0.172,2020,6,10,Wednesday,2020-06-10,2020-06, fertile ground explores how jackson mississippi is charting a better food future via civileats,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'via', 'civileats']",positive
2020-06-10 10:31:09+00:00,22,1270664794765484034,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future | Civil Eats https://t.co/wcLdmGrsas",WaYs2rOcK,"New Delhi, India",0,0,0,0,0.4404,0.0,0.838,0.162,2020,6,10,Wednesday,2020-06-10,2020-06, fertile ground explores how jackson mississippi is charting a better food future civil eats ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future', 'civil', 'eats']",positive
2020-06-10 09:26:05+00:00,23,1270648421272125440,"‘Fertile Ground’ Explores how Jackson, Mississippi, Is Charting a Better Food Future https://t.co/dKsuwin37X",GreeninDenver,"Denver, Colorado",0,0,0,0,0.4404,0.0,0.805,0.195,2020,6,10,Wednesday,2020-06-10,2020-06, fertile ground explores how jackson mississippi is charting a better food future ,"['fertile', 'ground', 'explores', 'jackson', 'mississippi', 'charting', 'better', 'food', 'future']",positive
2020-02-26 17:15:41+00:00,24,1232715871937794050,"Check out ""Fertile Ground Expo Weekend"" - #Jackson #Mississippi  https://t.co/fRC83x7psM @Eventbrite",BoiJuanda,"Jackson, MS",0,0,0,0,0.0,0.0,1.0,0.0,2020,2,26,Wednesday,2020-02-26,2020-02,check out fertile ground expo weekend jackson mississippi eventbrite,"['check', 'fertile', 'ground', 'expo', 'weekend', 'jackson', 'mississippi', 'eventbrite']",neutral
2020-02-21 21:17:57+00:00,25,1230964902740840449,"You are invited to participate in the The Fertile Ground Project Expo this spring April 9th - 11th in Jackson, Mississippi!

Register here: https://t.co/Aw1cBDBvK3

#thisisfertileground #farmtotable #mississippi #foodpolicy #foodinsecurity #foodaccess #jxnms https://t.co/bTImq4odZd",_fertileground_,"Jackson, MS",1,3,6,1,0.0,0.0,1.0,0.0,2020,2,21,Friday,2020-02-21,2020-02,you are invited to participate in the the fertile ground project expo this spring april   in jackson mississippi register here thisisfertileground farmtotable mississippi foodpolicy foodinsecurity foodaccess jxnms ,"['invited', 'participate', 'fertile', 'ground', 'project', 'expo', 'spring', 'april', 'jackson', 'mississippi', 'register', 'thisisfertileground', 'farmtotable', 'mississippi', 'foodpolicy', 'foodinsecurity', 'foodaccess', 'jxnms']",neutral
2019-11-01 13:46:19+00:00,26,1190263804996784128,"@sustainableag @RIFPC Keep fighting the good fight! We thank you &amp; look forward to learning more about the Office of Urban Ag. Our project recently started the first chemical free urban farm in Jackson, Mississippi called Fertile Ground Farms. We’re working on organic certification over the next 3 yrs",_fertileground_,"Jackson, MS",0,0,1,0,0.5983,0.088,0.757,0.155,2019,11,1,Friday,2019-11-01,2019-11, sustainableag rifpc keep fighting the good fight we thank you amp look forward to learning more about the office of urban ag our project recently started the first chemical free urban farm in jackson mississippi called fertile ground farms we re working on organic certification over the next  yrs,"['sustainableag', 'rifpc', 'keep', 'fighting', 'good', 'fight', 'thank', 'look', 'forward', 'learning', 'office', 'urban', 'ag', 'project', 'recently', 'started', 'first', 'chemical', 'free', 'urban', 'farm', 'jackson', 'mississippi', 'called', 'fertile', 'ground', 'farms', 'working', 'organic', 'certification', 'next', 'yrs']",positive
2019-09-10 17:28:58+00:00,27,1171475667734552577,"@yumcoconutmilk In Jackson, Mississippi we’re working on a public art project centered around food called Fertile Ground @_fertileground_  to learn more visit https://t.co/Cgc0FGUC0T",_salamrida,"Jackson, MS",0,0,3,0,0.0,0.0,1.0,0.0,2019,9,10,Tuesday,2019-09-10,2019-09, yumcoconutmilk in jackson mississippi we re working on a public art project centered around food called fertile ground fertileground to learn more visit ,"['yumcoconutmilk', 'jackson', 'mississippi', 'working', 'public', 'art', 'project', 'centered', 'around', 'food', 'called', 'fertile', 'ground', 'fertileground', 'learn', 'visit']",neutral
2021-03-15 16:45:25+00:00,30,1371502806746734594,"Help bring relief to Jackson, Mississippi (whose residents have lost access to clean water) by donating to @WCKitchen. Any little bit will help!
#food #hunger #charity",TheTeaInMe,,0,0,0,0,0.8667,0.115,0.509,0.376,2021,3,15,Monday,2021-03-15,2021-03,help bring relief to jackson mississippi whose residents have lost access to clean water by donating to wckitchen any little bit will help food hunger charity,"['help', 'bring', 'relief', 'jackson', 'mississippi', 'whose', 'residents', 'lost', 'access', 'clean', 'water', 'donating', 'wckitchen', 'little', 'bit', 'help', 'food', 'hunger', 'charity']",positive
2021-03-01 18:57:33+00:00,31,1366462630366445576,"Texas remember last week when we lost access to all “basic resources” like electricity, water and food? Jackson Mississippi still has no running water. Y’all see how easily these things we look at as “needs” can be taken away from us in an instant? Stay ready.",PrideOfTheChi,"Outwest, IL",0,0,1,0,0.504,0.084,0.77,0.146,2021,3,1,Monday,2021-03-01,2021-03,texas remember last week when we lost access to all basic resources like electricity water and food jackson mississippi still has no running water y all see how easily these things we look at as needs can be taken away from us in an instant stay ready ,"['texas', 'remember', 'last', 'week', 'lost', 'access', 'basic', 'resources', 'like', 'electricity', 'water', 'food', 'jackson', 'mississippi', 'still', 'running', 'water', 'see', 'easily', 'things', 'look', 'needs', 'taken', 'away', 'us', 'instant', 'stay', 'ready']",positive
2020-09-14 23:06:56+00:00,32,1305644230677868546,"Meet #WANDAWoman Cindy Ayers-Elliott of Foot Print Farms in Jackson, Mississippi. It has been a catalyst for healthy food in the inner city, seeking to give access to a new way of life for thousands of Mississippians. #foodshero #IamWANDA #sdg5 #sdg2

https://t.co/s2jZC2HvGk",IamWANDAorg,Africa | Americas,0,1,1,0,0.4019,0.0,0.938,0.062,2020,9,14,Monday,2020-09-14,2020-09,meet wandawoman cindy ayers elliott of foot print farms in jackson mississippi it has been a catalyst for healthy food in the inner city seeking to give access to a new way of life for thousands of mississippians foodshero iamwanda   ,"['meet', 'wandawoman', 'cindy', 'ayers', 'elliott', 'foot', 'print', 'farms', 'jackson', 'mississippi', 'catalyst', 'healthy', 'food', 'inner', 'city', 'seeking', 'give', 'access', 'new', 'way', 'life', 'thousands', 'mississippians', 'foodshero', 'iamwanda']",positive
2020-07-24 17:18:35+00:00,33,1286712394937511941,"Foot Print Farms has been a catalyst for healthy food in the inner city of Jackson, Mississippi, seeking to give access to a new way of life for thousands of Mississippians.
https://t.co/rScxPpKLc4 https://t.co/JYWtaF8f0H",NRCS_MS,"Jackson, MS",0,1,1,0,0.4019,0.0,0.922,0.078,2020,7,24,Friday,2020-07-24,2020-07,foot print farms has been a catalyst for healthy food in the inner city of jackson mississippi seeking to give access to a new way of life for thousands of mississippians ,"['foot', 'print', 'farms', 'catalyst', 'healthy', 'food', 'inner', 'city', 'jackson', 'mississippi', 'seeking', 'give', 'access', 'new', 'way', 'life', 'thousands', 'mississippians']",positive
2020-07-24 16:25:47+00:00,34,1286699109093531648,"Foot Print Farms has been a catalyst for healthy food in the inner city of Jackson, Mississippi, seeking to give access to a new way of life for thousands of Mississippians. https://t.co/jiUVxWNx2s #FridaysOnTheFarm #OurFarmers https://t.co/PsESu7igE2",FarmersGov,,0,10,13,1,0.4019,0.0,0.926,0.074,2020,7,24,Friday,2020-07-24,2020-07,foot print farms has been a catalyst for healthy food in the inner city of jackson mississippi seeking to give access to a new way of life for thousands of mississippians fridaysonthefarm ourfarmers ,"['foot', 'print', 'farms', 'catalyst', 'healthy', 'food', 'inner', 'city', 'jackson', 'mississippi', 'seeking', 'give', 'access', 'new', 'way', 'life', 'thousands', 'mississippians', 'fridaysonthefarm', 'ourfarmers']",positive
2020-06-11 03:47:02+00:00,36,1270925483958558731,my friends made a documentary about food access in jackson mississippi please watch https://t.co/y1LlIl752y,dentmay,po box 421542 la ca 90042,0,18,86,1,0.6597,0.0,0.69,0.31,2020,6,11,Thursday,2020-06-11,2020-06,my friends made a documentary about food access in jackson mississippi please watch ,"['friends', 'made', 'documentary', 'food', 'access', 'jackson', 'mississippi', 'please', 'watch']",positive
2019-03-29 15:54:54+00:00,37,1111657997292445696,"What to know, how to go! Food Truck Mash-Up tomorrow in Jackson, Mississippi. 12PM Early Access. 130PM General Admission. https://t.co/G7HFvuAPIH @clarionledger #foodtruckmashup",FoodTruckMashUp,ALL OVER USA,0,0,0,0,0.0,0.0,1.0,0.0,2019,3,29,Friday,2019-03-29,2019-03,what to know how to go food truck mash up tomorrow in jackson mississippi  early access  general admission clarionledger foodtruckmashup,"['know', 'go', 'food', 'truck', 'mash', 'tomorrow', 'jackson', 'mississippi', 'early', 'access', 'general', 'admission', 'clarionledger', 'foodtruckmashup']",neutral
2018-12-20 17:30:35+00:00,38,1075805675966603264,"Two @TaubmanCollege graduates have secured a $1 million grant for the city of Jackson, Mississippi. Learn more about the pair’s plans for a brand new mural that will bring vibrancy to a public space whilst also informing policy on issues of food access: https://t.co/2yinbZ1zWq https://t.co/a6M8xZv8Jz",LeadersandBest,"Ann Arbor, MI",0,0,3,0,0.6369,0.0,0.892,0.108,2018,12,20,Thursday,2018-12-20,2018-12,two taubmancollege graduates have secured a  million grant for the city of jackson mississippi learn more about the pair s plans for a brand new mural that will bring vibrancy to a public space whilst also informing policy on issues of food access ,"['two', 'taubmancollege', 'graduates', 'secured', 'million', 'grant', 'city', 'jackson', 'mississippi', 'learn', 'pair', 'plans', 'brand', 'new', 'mural', 'bring', 'vibrancy', 'public', 'space', 'whilst', 'also', 'informing', 'policy', 'issues', 'food', 'access']",positive
2018-12-03 00:47:10+00:00,40,1069392564774739968,"A $1 million grant will support a city-wide project about improving access to healthy food. Read More Jackson, Mississippi, Named Winner of Bloomberg Philanthropies&amp;#8217;s 2018 Public Art Challenge https://t.co/5KLdViAMqq via @artnewsmag #urbanag #foodaccess @RonFinleyHQ",SmallFarmz,wormville,0,0,4,0,0.93,0.0,0.639,0.361,2018,12,3,Monday,2018-12-03,2018-12,a  million grant will support a city wide project about improving access to healthy food read more jackson mississippi named winner of bloomberg philanthropies amp  s  public art challenge via artnewsmag urbanag foodaccess ronfinleyhq,"['million', 'grant', 'support', 'city', 'wide', 'project', 'improving', 'access', 'healthy', 'food', 'read', 'jackson', 'mississippi', 'named', 'winner', 'bloomberg', 'philanthropies', 'public', 'art', 'challenge', 'via', 'artnewsmag', 'urbanag', 'foodaccess', 'ronfinleyhq']",positive
2018-11-29 19:04:15+00:00,42,1068219101573722113,"Congratulations to JSU! A $1 million grant will support a city-wide project about improving access to healthy food. Read More Jackson, Mississippi, Named Winner of Bloomberg Philanthropies&amp;#8217;s 2018 Public Art Challenge https://t.co/GLtnyh5xuR via @artnewsmag",maxxgreenleaf,Mississippi,0,0,0,0,0.9583,0.0,0.575,0.425,2018,11,29,Thursday,2018-11-29,2018-11,congratulations to jsu a  million grant will support a city wide project about improving access to healthy food read more jackson mississippi named winner of bloomberg philanthropies amp  s  public art challenge via artnewsmag,"['congratulations', 'jsu', 'million', 'grant', 'support', 'city', 'wide', 'project', 'improving', 'access', 'healthy', 'food', 'read', 'jackson', 'mississippi', 'named', 'winner', 'bloomberg', 'philanthropies', 'public', 'art', 'challenge', 'via', 'artnewsmag']",positive
2018-11-22 02:15:08+00:00,43,1065428436272013312,"U.S. Senate candidate Mike Espy discussed his positions on public education and college, healthy food access and healthcare, and borders and the fate of DREAMers during a forum at New Horizon Church in west Jackson. #Mississippi #JXN #msedu #mselex #mssen https://t.co/RoPCRUgPM4 https://t.co/plQdKo849f",JxnFreePress,"Jackson, Mississippi",1,18,19,0,0.4019,0.0,0.938,0.062,2018,11,22,Thursday,2018-11-22,2018-11,u s senate candidate mike espy discussed his positions on public education and college healthy food access and healthcare and borders and the fate of dreamers during a forum at new horizon church in west jackson mississippi jxn msedu mselex mssen ,"['u', 'senate', 'candidate', 'mike', 'espy', 'discussed', 'positions', 'public', 'education', 'college', 'healthy', 'food', 'access', 'healthcare', 'borders', 'fate', 'dreamers', 'forum', 'new', 'horizon', 'church', 'west', 'jackson', 'mississippi', 'jxn', 'msedu', 'mselex', 'mssen']",positive
2018-11-20 22:05:14+00:00,44,1065003157900746752,"U.S. Senate candidate Mike Espy discussed his positions on public education and college, healthy food access and healthcare, and borders and the fate of DREAMers during a forum at New Horizon Church in west Jackson. #Mississippi #JXN #msedu #mselex #mssen https://t.co/RoPCRUgPM4 https://t.co/j5h5crwEqp",JxnFreePress,"Jackson, Mississippi",0,0,0,0,0.4019,0.0,0.938,0.062,2018,11,20,Tuesday,2018-11-20,2018-11,u s senate candidate mike espy discussed his positions on public education and college healthy food access and healthcare and borders and the fate of dreamers during a forum at new horizon church in west jackson mississippi jxn msedu mselex mssen ,"['u', 'senate', 'candidate', 'mike', 'espy', 'discussed', 'positions', 'public', 'education', 'college', 'healthy', 'food', 'access', 'healthcare', 'borders', 'fate', 'dreamers', 'forum', 'new', 'horizon', 'church', 'west', 'jackson', 'mississippi', 'jxn', 'msedu', 'mselex', 'mssen']",positive
2018-11-19 17:54:18+00:00,45,1064577621281959943,"RT JxnFreePress: U.S. Senate candidate Mike Espy discussed his positions on public education and college, healthy food access and healthcare, and borders and the fate of DREAMers during a forum at New Horizon Church in west Jackson. #Mississippi #JXN #ms… https://t.co/8TN73QXunD",hollywoodprogre,"Hollywood, CA",0,0,0,0,0.4019,0.0,0.937,0.063,2018,11,19,Monday,2018-11-19,2018-11,rt jxnfreepress u s senate candidate mike espy discussed his positions on public education and college healthy food access and healthcare and borders and the fate of dreamers during a forum at new horizon church in west jackson mississippi jxn ms ,"['rt', 'jxnfreepress', 'u', 'senate', 'candidate', 'mike', 'espy', 'discussed', 'positions', 'public', 'education', 'college', 'healthy', 'food', 'access', 'healthcare', 'borders', 'fate', 'dreamers', 'forum', 'new', 'horizon', 'church', 'west', 'jackson', 'mississippi', 'jxn', 'ms']",positive
2018-11-19 14:01:16+00:00,46,1064518978041798663,"U.S. Senate candidate Mike Espy discussed his positions on public education and college, healthy food access and healthcare, and borders and the fate of DREAMers during a forum at New Horizon Church in west Jackson. #Mississippi #JXN #msedu #mselex #mssen https://t.co/RoPCRUgPM4 https://t.co/ndqcZzyDno",JxnFreePress,"Jackson, Mississippi",4,40,45,0,0.4019,0.0,0.938,0.062,2018,11,19,Monday,2018-11-19,2018-11,u s senate candidate mike espy discussed his positions on public education and college healthy food access and healthcare and borders and the fate of dreamers during a forum at new horizon church in west jackson mississippi jxn msedu mselex mssen ,"['u', 'senate', 'candidate', 'mike', 'espy', 'discussed', 'positions', 'public', 'education', 'college', 'healthy', 'food', 'access', 'healthcare', 'borders', 'fate', 'dreamers', 'forum', 'new', 'horizon', 'church', 'west', 'jackson', 'mississippi', 'jxn', 'msedu', 'mselex', 'mssen']",positive
2018-11-17 16:00:25+00:00,47,1063824184487411712,"U.S. Senate candidate Mike Espy discussed his positions on public education and college, healthy food access and healthcare, and borders and the fate of DREAMers during a forum at New Horizon Church in west Jackson. #Mississippi #JXN #msedu #mselex #mssen https://t.co/RoPCRUgPM4 https://t.co/tBE5fjC9Js",JxnFreePress,"Jackson, Mississippi",0,0,3,0,0.4019,0.0,0.938,0.062,2018,11,17,Saturday,2018-11-17,2018-11,u s senate candidate mike espy discussed his positions on public education and college healthy food access and healthcare and borders and the fate of dreamers during a forum at new horizon church in west jackson mississippi jxn msedu mselex mssen ,"['u', 'senate', 'candidate', 'mike', 'espy', 'discussed', 'positions', 'public', 'education', 'college', 'healthy', 'food', 'access', 'healthcare', 'borders', 'fate', 'dreamers', 'forum', 'new', 'horizon', 'church', 'west', 'jackson', 'mississippi', 'jxn', 'msedu', 'mselex', 'mssen']",positive
2018-11-16 20:44:53+00:00,48,1063533387359637504,"U.S. Senate candidate Mike Espy discussed his positions on public education and college, healthy food access and healthcare, and borders and the fate of DREAMers during a forum at New Horizon Church in west Jackson. #Mississippi #JXN #msedu #mselex #mssen https://t.co/RoPCRUgPM4 https://t.co/dnDzwQ8j52",JxnFreePress,"Jackson, Mississippi",1,5,5,3,0.4019,0.0,0.938,0.062,2018,11,16,Friday,2018-11-16,2018-11,u s senate candidate mike espy discussed his positions on public education and college healthy food access and healthcare and borders and the fate of dreamers during a forum at new horizon church in west jackson mississippi jxn msedu mselex mssen ,"['u', 'senate', 'candidate', 'mike', 'espy', 'discussed', 'positions', 'public', 'education', 'college', 'healthy', 'food', 'access', 'healthcare', 'borders', 'fate', 'dreamers', 'forum', 'new', 'horizon', 'church', 'west', 'jackson', 'mississippi', 'jxn', 'msedu', 'mselex', 'mssen']",positive
2021-08-09 21:37:56+00:00,49,1424847437919830019,"Local food systems are building a healthier future in Jackson, Mississippi through the efforts of @_FertileGround_ to address food insecurity in under-served communities. #FoodCitiesFuture #PublicArtChallenge
https://t.co/nMNlmAwsT4",GlobalCitiesOrg,"Manhattan, NY",0,0,3,0,-0.4215,0.101,0.899,0.0,2021,8,9,Monday,2021-08-09,2021-08,local food systems are building a healthier future in jackson mississippi through the efforts of fertileground to address food insecurity in under served communities foodcitiesfuture publicartchallenge ,"['local', 'food', 'systems', 'building', 'healthier', 'future', 'jackson', 'mississippi', 'efforts', 'fertileground', 'address', 'food', 'insecurity', 'served', 'communities', 'foodcitiesfuture', 'publicartchallenge']",negative
